measurement,t_seconds,rul_seconds,rpm,torque,temp_front,temp_rear
38,22800.0,45600.0,729.0,-1.5279999999999998,53.267500000000005,69.44666666666666
39,23400.0,45000.0,727.8333333333334,-1.6263333333333334,49.56116666666666,64.0655
40,24000.0,44400.0,965.5833333333334,-10.377,54.279500000000006,66.20700000000001
41,24600.0,43800.0,965.4166666666666,-11.053666666666667,76.33,91.593
42,25200.0,43200.0,968.0,-9.2975,79.76950000000001,106.2025
43,25800.0,42600.0,966.3333333333334,-9.704833333333333,82.72316666666667,115.79266666666666
44,26400.0,42000.0,965.3333333333334,-11.417666666666667,83.8945,124.55033333333334
45,27000.0,41400.0,958.4166666666666,-11.993333333333332,93.10533333333335,129.51833333333332
46,27600.0,40800.0,725.8333333333334,-1.5878333333333334,96.9055,132.90283333333335
47,28200.0,40200.0,725.6666666666666,-1.4728333333333332,80.142,108.9825
48,28800.0,39600.0,727.0,-1.466,69.4245,94.00466666666667
49,29400.0,39000.0,727.0,-1.3479999999999999,61.93716666666666,83.319
50,30000.0,38400.0,729.5833333333334,-1.4654999999999998,56.536,75.575
51,30600.0,37800.0,728.75,-1.4585,52.382000000000005,69.44833333333334
52,31200.0,37200.0,959.0,-6.12,49.45216666666666,65.05266666666667
53,31800.0,36600.0,972.25,-7.521499999999999,59.5785,79.30766666666666
54,32400.0,36000.0,975.6666666666666,-9.2995,68.11966666666667,100.09283333333333
55,33000.0,35400.0,976.0,-9.056166666666668,73.76766666666667,112.15516666666667
56,33600.0,34800.0,971.5714285714286,-11.962285714285715,80.88,128.09157142857143
57,34200.0,34200.0,974.2857142857143,-9.981571428571428,86.80857142857143,136.22628571428572
58,34800.0,33600.0,929.0714285714286,-9.417714285714286,91.98700000000001,142.83700000000002
59,35400.0,33000.0,734.1428571428571,-1.8785714285714286,78.30442857142857,118.57128571428572
60,36000.0,32400.0,731.2142857142857,-1.9611428571428573,68.49042857142857,102.81985714285715
61,36600.0,31800.0,728.3571428571429,-2.0917142857142856,61.74028571428572,92.03642857142857
62,37200.0,31200.0,727.7142857142857,-2.0668571428571427,56.72128571428572,84.26328571428571
63,37800.0,30600.0,731.6428571428571,-2.1964285714285716,52.835,78.53171428571429
64,38400.0,30000.0,729.3571428571429,-1.9954285714285713,49.809999999999995,73.45171428571429
65,39000.0,29400.0,969.7142857142857,-10.570714285714287,59.50042857142858,90.54257142857143
66,39600.0,28800.0,967.4285714285714,-11.910571428571428,69.86000000000001,121.49757142857142
67,40200.0,28200.0,968.4285714285714,-11.160714285714286,78.47214285714286,137.6037142857143
68,40800.0,27600.0,968.0714285714286,-11.700142857142856,84.45414285714286,144.65514285714283
69,41400.0,27000.0,968.8571428571429,-10.392571428571427,88.1952857142857,152.45985714285715
70,42000.0,26400.0,971.7142857142857,-10.541571428571428,90.35585714285715,159.2837142857143
71,42600.0,25800.0,733.7142857142857,-2.1484285714285716,80.76185714285715,138.32828571428573
72,43200.0,25200.0,732.4285714285714,-2.0722857142857145,71.01328571428571,117.93871428571428
73,43800.0,24600.0,732.2142857142857,-1.6654285714285717,64.11342857142857,103.34299999999999
74,44400.0,24000.0,732.2857142857143,-1.954285714285714,58.80842857142857,92.05514285714287
75,45000.0,23400.0,732.1428571428571,-2.4238571428571425,54.865857142857145,85.5702857142857
76,45600.0,22800.0,734.7142857142857,-2.3347142857142855,51.67385714285715,80.26057142857144
77,46200.0,22200.0,970.1428571428571,-10.828714285714284,55.74885714285714,102.10585714285715
78,46800.0,21600.0,974.1428571428571,-10.313714285714285,61.65785714285714,126.59342857142859
79,47400.0,21000.0,977.0,-9.829857142857142,66.014,140.698
80,48000.0,20400.0,979.4285714285714,-9.165714285714285,69.94885714285715,148.42857142857142
81,48600.0,19800.0,979.7857142857143,-8.802857142857144,71.743,150.74614285714284
82,49200.0,19200.0,979.7142857142857,-8.617142857142857,73.7927142857143,152.65128571428573
83,49800.0,18600.0,737.7142857142857,-2.1079999999999997,70.52842857142856,137.97614285714286
84,50400.0,18000.0,738.7142857142857,-2.4388571428571426,63.67557142857144,118.2512857142857
85,51000.0,17400.0,738.0714285714286,-2.4755714285714285,58.56285714285714,105.13885714285716
86,51600.0,16800.0,738.0,-2.6042857142857145,54.90671428571428,95.77271428571429
87,52200.0,16200.0,738.0,-2.6332857142857145,52.033142857142856,89.13428571428571
88,52800.0,15600.0,738.1428571428571,-2.560857142857143,49.57857142857143,83.68414285714286
89,53400.0,15000.0,976.4285714285714,-10.814714285714286,51.66228571428571,96.75642857142859
90,54000.0,14400.0,976.1428571428571,-7.590285714285715,59.28342857142858,123.16799999999999
91,54600.0,13800.0,971.2142857142857,-11.039857142857143,66.70371428571428,135.9327142857143
92,55200.0,13200.0,972.0,-10.038,71.37816666666667,147.7495
93,55800.0,12600.0,970.3333333333334,-9.598833333333333,74.68166666666666,154.34083333333334
94,56400.0,12000.0,971.5833333333334,-9.342833333333333,76.81283333333333,156.5413333333333
95,57000.0,11400.0,732.8333333333334,-2.705166666666667,76.01816666666667,150.50433333333334
96,57600.0,10800.0,728.6666666666666,-2.5865,68.08999999999999,128.02566666666664
97,58200.0,10200.0,727.5,-2.599833333333333,62.6515,113.16483333333333
98,58800.0,9600.0,726.3333333333334,-2.6093333333333333,58.62133333333333,102.45433333333334
99,59400.0,9000.0,726.8333333333334,-2.4610000000000003,55.3905,94.2685
100,60000.0,8400.0,727.1666666666666,-2.4283333333333332,52.67016666666667,87.87116666666667
101,60600.0,7800.0,967.1666666666666,-7.988333333333333,51.73216666666667,87.1755
102,61200.0,7200.0,966.9166666666666,-10.491999999999999,59.06016666666667,115.91983333333333
103,61800.0,6600.0,967.0,-10.906,65.30733333333333,137.646
104,62400.0,6000.0,965.8333333333334,-11.215000000000002,69.15899999999999,153.11333333333334
105,63000.0,5400.0,965.5,-11.875333333333336,73.317,162.35516666666666
106,63600.0,4800.0,964.4166666666666,-11.884500000000001,75.64583333333333,175.68683333333334
107,64200.0,4200.0,746.5,-3.3141666666666665,77.43666666666667,179.68516666666665
108,64800.0,3600.0,723.0,-2.6011666666666664,69.73933333333333,147.6045
109,65400.0,3000.0,718.9166666666666,-2.558166666666667,64.20166666666667,126.84283333333333
110,66000.0,2400.0,720.1666666666666,-2.593666666666666,60.09799999999999,112.50616666666666
111,66600.0,1800.0,719.6666666666666,-2.7255,56.85833333333334,102.02816666666666
112,67200.0,1200.0,721.0,-2.939,54.25683333333333,95.23016666666666
113,67800.0,600.0,748.0,-4.511833333333333,52.047333333333334,90.043
